episode,steps,total_reward,collision,goal_reached,avg_step_reward
1,6,-6.1,True,False,-1.0166666666666666
2,6,-4.6,True,False,-0.7666666666666666
3,8,-4.299999999999999,True,False,-0.5374999999999999
4,6,-4.6,True,False,-0.7666666666666666
5,6,-4.6,True,False,-0.7666666666666666
6,9,-1.8999999999999986,True,False,-0.21111111111111094
7,6,-4.6,True,False,-0.7666666666666666
8,8,-2.799999999999999,True,False,-0.34999999999999987
9,6,-6.1,True,False,-1.0166666666666666
10,7,-3.6999999999999993,True,False,-0.5285714285714285
11,19,7.100000000000003,True,False,0.37368421052631595
12,6,-4.6,True,False,-0.7666666666666666
13,15,-13.0,True,False,-0.8666666666666667
14,11,-0.09999999999999787,True,False,-0.009090909090908898
15,14,-6.399999999999998,True,False,-0.45714285714285696
16,20,-3.999999999999999,True,False,-0.19999999999999996
17,6,-4.6,True,False,-0.7666666666666666
18,13,-16.299999999999997,True,False,-1.2538461538461536
19,12,0.8000000000000025,True,False,0.06666666666666687
20,12,-6.7,True,False,-0.5583333333333333
21,6,-6.1,True,False,-1.0166666666666666
22,20,-20.499999999999996,True,False,-1.025
23,6,-12.1,True,False,-2.0166666666666666
24,6,-12.1,True,False,-2.0166666666666666
25,6,-4.6,True,False,-0.7666666666666666
26,6,-4.6,True,False,-0.7666666666666666
27,40,-2.4999999999999973,True,False,-0.06249999999999993
28,9,-1.8999999999999986,True,False,-0.21111111111111094
29,15,-0.9999999999999964,True,False,-0.06666666666666643
30,6,-4.6,True,False,-0.7666666666666666
31,11,-1.5999999999999979,True,False,-0.14545454545454525
32,6,-6.1,True,False,-1.0166666666666666
33,6,-7.6,True,False,-1.2666666666666666
34,6,-4.6,True,False,-0.7666666666666666
35,8,-5.8,True,False,-0.725
36,12,-3.6999999999999993,True,False,-0.3083333333333333
37,17,5.300000000000004,True,False,0.31176470588235317
38,13,0.20000000000000284,True,False,0.015384615384615604
39,16,-0.09999999999999787,True,False,-0.006249999999999867
40,18,3.200000000000003,True,False,0.17777777777777792
41,18,-5.799999999999997,True,False,-0.3222222222222221
42,38,-5.79999999999999,True,False,-0.15263157894736815
43,23,-10.299999999999999,True,False,-0.4478260869565217
44,8,-2.799999999999999,True,False,-0.34999999999999987
45,7,-3.6999999999999993,True,False,-0.5285714285714285
46,6,-9.1,True,False,-1.5166666666666666
47,9,-4.899999999999999,True,False,-0.5444444444444443
48,9,-9.4,True,False,-1.0444444444444445
49,6,-4.6,True,False,-0.7666666666666666
50,8,-2.799999999999999,True,False,-0.34999999999999987
51,6,-6.1,True,False,-1.0166666666666666
52,23,-5.799999999999994,True,False,-0.25217391304347797
53,35,-15.999999999999996,True,False,-0.457142857142857
54,26,-10.6,True,False,-0.4076923076923077
55,12,-0.6999999999999975,True,False,-0.058333333333333126
56,6,-4.6,True,False,-0.7666666666666666
57,6,-4.6,True,False,-0.7666666666666666
58,8,-2.799999999999999,True,False,-0.34999999999999987
59,9,-4.8999999999999995,True,False,-0.5444444444444444
60,9,-9.4,True,False,-1.0444444444444445
61,6,-6.1,True,False,-1.0166666666666666
62,23,-1.2999999999999972,True,False,-0.05652173913043466
63,6,-4.6,True,False,-0.7666666666666666
64,6,-7.6,True,False,-1.2666666666666666
65,9,-12.399999999999999,True,False,-1.3777777777777775
66,32,-9.700000000000001,True,False,-0.30312500000000003
67,6,-4.6,True,False,-0.7666666666666666
68,26,8.9,True,False,0.3423076923076923
69,9,-1.8999999999999986,True,False,-0.21111111111111094
70,10,-13.0,True,False,-1.3
71,18,-11.8,True,False,-0.6555555555555556
72,11,-7.6,True,False,-0.6909090909090909
73,6,-4.6,True,False,-0.7666666666666666
74,6,-9.1,True,False,-1.5166666666666666
75,6,-4.6,True,False,-0.7666666666666666
76,17,0.8000000000000043,True,False,0.047058823529412014
77,13,1.7000000000000028,True,False,0.130769230769231
78,6,-4.6,True,False,-0.7666666666666666
79,12,-6.699999999999999,True,False,-0.5583333333333332
80,6,-12.1,True,False,-2.0166666666666666
81,29,-16.9,True,False,-0.5827586206896551
82,12,-14.2,True,False,-1.1833333333333333
83,9,-9.399999999999999,True,False,-1.0444444444444443
84,8,-2.799999999999999,True,False,-0.34999999999999987
85,6,-4.6,True,False,-0.7666666666666666
86,14,2.600000000000003,True,False,0.18571428571428594
87,17,-5.199999999999997,True,False,-0.30588235294117627
88,23,3.2000000000000064,True,False,0.13913043478260897
89,16,4.400000000000004,True,False,0.27500000000000024
90,31,16.399999999999984,True,False,0.5290322580645156
91,7,-3.6999999999999993,True,False,-0.5285714285714285
92,6,-7.6,True,False,-1.2666666666666666
93,44,-4.899999999999998,True,False,-0.11136363636363632
94,12,-0.6999999999999993,True,False,-0.05833333333333327
95,16,-7.6,True,False,-0.475
96,23,6.200000000000005,True,False,0.26956521739130457
97,15,-3.999999999999999,True,False,-0.2666666666666666
98,10,-2.4999999999999982,True,False,-0.24999999999999983
99,6,-12.1,True,False,-2.0166666666666666
100,6,-12.1,True,False,-2.0166666666666666
