#{"t_start": 1762977699.29812, "env_id": "None"}
r,l,t
-14.2,12,3.329132
-10.6,6,3.731581
-3.4,9,4.241972
-12.4,9,4.745445
-6.1,6,5.133551
-10.9,9,5.633814
-9.1,6,6.061375
-13.3,18,6.842179
-12.1,6,7.285833
5.3,17,8.05122
-10.6,21,8.968155
-3.7,12,9.581431
-12.1,6,10.011536
-12.7,7,10.470157
-5.5,20,11.280967
-7.6,6,11.717727
-12.1,6,12.140963
-4.0,10,12.71073
-1.9,9,13.209868
-4.6,16,13.910396
-2.8,28,15.012564
-1.9,9,15.519528
-5.2,7,15.919462
-11.8,63,18.177881
-0.4,14,18.865155
-2.5,15,19.556831
-13.0,15,20.265785
-1.3,13,20.875936
-9.1,6,21.275592
-12.1,6,21.676883
-10.6,6,22.117893
-4.3,8,22.58565
-9.1,6,23.001284
0.5,45,24.686823
0.8,27,25.817213
-12.4,29,26.91254
-8.2,7,28.723898
3.5,70,31.141504
-0.7,12,31.742918
-4.6,6,32.164229
-12.1,6,32.569497
-7.3,8,33.072013
-10.9,9,33.565164
-17.8,18,34.364653
-12.7,17,35.158869
-6.1,6,35.567443
1.1,29,36.667769
-9.4,19,37.471852
-3.7,12,38.072295
-2.8,8,38.575954
10.7,28,39.682977
-10.6,6,40.099971
-6.7,37,41.499499
-9.1,6,41.944426
6.8,22,42.838069
-11.2,7,43.24846
-1.9,9,43.748656
-4.6,6,44.170303
-13.9,9,44.642344
3.2,23,45.558011
-7.6,6,46.000832
1.1,14,46.669005
-16.9,39,48.055198
-4.6,6,48.493128
-8.2,22,49.380541
-1.9,9,49.905117
-6.1,31,51.092257
-9.7,12,52.751877
2.0,20,53.512868
5.6,39,55.041898
-7.6,6,55.472496
-7.6,11,56.038397
-10.6,6,56.468297
-6.7,7,56.929391
-4.6,6,57.330247
-4.6,6,57.770105
-4.6,6,58.218365
-4.6,6,58.638439
-3.7,7,59.049783
-1.9,9,59.551383
10.7,23,60.479204
6.8,27,61.490355
-2.8,8,61.975627
-0.4,14,62.604257
-6.4,14,63.215409
-5.2,17,63.946001
-1.6,41,65.441327
-2.8,18,66.247837
5.6,24,67.277562
12.8,37,68.678445
-6.1,6,69.125644
13.4,36,70.425377
-4.6,6,70.823807
-4.6,6,71.224691
-5.5,20,72.039619
-9.1,6,72.477679
-1.9,34,73.731256
1.4,16,74.44263
-5.5,10,74.948655
-1.9,9,75.460387
-4.6,11,76.941858
4.7,18,77.655845
0.8,12,78.258441
3.5,20,79.063552
9.2,28,80.175693
11.3,57,82.141635
-4.3,8,82.634225
-1.3,13,83.25738
-3.7,12,83.860569
-0.7,12,84.449686
-2.2,12,85.059116
-6.1,6,85.445225
0.2,13,86.071576
5.9,31,87.265321
-6.1,6,87.705149
-0.4,14,88.369887
9.5,40,89.878464
2.6,24,90.78388
1.1,14,91.485579
1.4,16,92.194123
-5.5,10,92.69534
15.5,35,93.999404
40.7,78,96.717985
10.4,26,97.736557
6.2,28,99.765336
10.7,23,100.687616
-4.3,8,101.174115
-1.3,18,101.979498
-2.8,8,102.503582
-4.6,6,102.950903
-9.1,6,103.357486
-3.7,7,103.820425
-7.6,6,104.230488
-6.1,6,104.676153
-6.1,6,105.068521
-4.6,6,105.452569
-1.0,10,106.004753
8.6,24,107.010539
-1.0,10,107.517147
-4.6,6,107.919623
-2.5,10,108.445373
-4.9,9,108.92047
-3.4,9,109.453281
1.1,14,110.134047
-4.6,6,110.545253
-1.0,10,111.063246
-4.3,8,111.555053
4.1,19,112.36623
-0.1,16,113.063413
-1.9,9,113.5663
-4.6,6,113.989691
-5.2,7,114.38151
-3.7,7,114.808522
-1.6,11,115.386975
9.5,25,116.418214
-4.6,6,116.822257
2.0,15,117.506691
2.3,22,118.410975
-4.6,11,119.025848
0.5,15,119.708994
-4.6,6,120.12713
-2.5,10,120.678316
-7.3,8,121.161839
-4.3,8,121.648032
-4.6,6,122.045843
7.7,28,123.154172
4.7,23,124.064416
-4.6,6,124.505396
1.7,13,126.001661
-12.4,9,126.483114
3.5,25,127.486789
-4.0,15,128.211705
23.9,46,129.921133
-6.1,6,130.359813
-3.1,11,130.922243
-1.9,9,131.428917
2.6,14,132.125644
-3.7,7,132.540972
23.9,56,134.560397
8.6,24,135.555862
12.2,33,136.713454
-4.6,6,137.123998
3.5,15,137.811037
-1.6,11,138.422192
13.4,26,139.439605
-7.6,6,139.846521
-4.0,15,140.526104
-4.3,8,140.956764
11.9,36,142.317726
-1.9,9,142.812279
-6.1,6,143.239668
-4.6,11,143.79813
-4.6,6,144.204507
-1.3,18,145.046431
-6.1,6,145.459864
-6.1,6,145.909288
-4.6,6,146.313173
-4.6,6,146.736545
-4.0,15,147.446491
-2.8,8,147.922023
-2.8,8,148.420883
2.6,14,149.126497
-11.8,18,150.875678
-7.6,6,151.322903
-3.7,7,151.774006
-0.1,11,152.34125
11.6,24,153.348407
17.0,35,154.669361
-0.1,11,155.256141
8.6,24,156.256705
-1.6,11,156.856482
-2.8,13,157.48129
-7.3,8,157.980082
-4.6,6,158.412956
-2.2,12,158.974962
8.3,22,159.876281
-4.6,6,160.275195
-7.6,6,160.673363
2.6,14,161.292369
0.2,13,161.925556
-4.6,6,162.396929
-4.6,6,162.818697
20.3,37,164.22061
-4.3,8,164.707475
1.7,13,165.335192
-2.8,8,165.820179
-4.6,6,166.208164
8.9,21,167.126772
23.0,40,168.65661
9.8,27,169.747108
-4.6,6,170.144464
-7.6,6,170.545964
-0.1,11,171.147206
-2.5,10,171.667918
2.0,15,172.359854
-4.6,6,172.799091
5.0,20,173.685588
-4.6,6,174.089358
9.5,30,176.185889
5.0,25,177.177628
-3.7,7,177.609662
-4.6,6,177.993281
-4.0,10,178.502179
-6.1,6,178.905588
2.9,16,179.609381
-1.0,10,180.106647
-3.1,11,180.646874
-8.5,10,181.158326
-2.2,12,181.754814
-0.1,11,182.364948
1.1,14,183.002841
-0.1,11,183.575442
-4.6,6,183.997524
-4.6,6,184.401647
-5.8,13,185.082188
-1.9,9,185.585447
-4.6,6,186.038646
6.2,18,186.810966
0.8,12,187.419714
-4.6,6,187.848699
5.6,19,188.659249
-3.1,16,189.379421
9.8,22,190.27799
32.9,51,192.10725
-4.6,6,192.478569
-1.6,11,193.003138
-6.1,6,193.448862
4.4,16,194.193432
-4.6,6,194.593864
-6.1,6,195.021503
-0.1,11,195.595602
16.4,41,197.122627
-6.1,6,197.546598
5.0,25,198.517138
-4.6,6,198.926985
12.2,33,201.321586
-2.8,8,201.661557
-1.9,9,202.159316
-3.7,7,202.561824
-4.6,6,202.935976
-3.7,7,203.367995
-4.6,6,203.794421
20.9,36,205.170266
2.3,22,206.076559
-1.9,9,206.579718
-4.6,6,206.979329
2.0,15,207.685671
-3.4,9,208.210784
7.1,19,209.017589
-4.6,6,209.410336
-4.6,6,209.823989
-1.0,10,210.35583
4.7,18,211.141202
-1.9,9,211.637573
-6.1,6,212.020283
-4.9,9,212.55544
-2.8,8,213.034843
0.8,12,213.658699
-1.9,9,214.157548
-6.1,6,214.563099
-6.1,6,215.003013
-2.8,8,215.487281
-4.6,6,215.872131
-1.9,9,216.4029
-4.6,6,216.807644
-0.7,12,217.431042
-4.6,6,217.811821
-2.8,8,218.286252
-4.6,6,218.72542
-4.6,6,219.133141
-4.0,10,219.686615
-2.8,8,220.187848
-4.6,6,220.618114
-2.5,15,221.322983
-4.6,6,221.764072
-1.0,10,222.303963
-4.6,6,222.707292
-4.6,6,223.169777
-1.0,10,223.718829
17.9,36,225.036667
-4.6,6,225.44328
-6.1,6,225.836574
-2.8,8,226.330338
-1.9,9,226.834656
31.4,46,229.38447
3.5,15,230.081988
-3.7,12,230.690901
2.9,16,231.412396
16.4,31,232.638224
-2.8,8,233.141037
-4.6,6,233.560783
7.1,19,234.433797
-4.6,6,234.817939
-4.6,6,235.228985
-4.6,6,235.662263
-0.1,11,236.246229
9.8,22,237.121258
-4.3,8,237.646879
5.3,17,238.447152
3.5,15,239.151255
-4.6,6,239.594079
-4.6,6,240.012186
-1.3,13,240.643242
31.7,48,242.357507
-6.1,6,242.769948
0.8,12,243.39575
20.6,34,244.665952
-4.6,6,245.079086
-3.4,9,245.573798
21.5,35,246.898873
6.5,25,247.889675
17.0,35,249.194849
7.1,19,250.039294
2.6,14,250.715708
-4.6,6,251.111291
11.6,29,252.215514
-1.9,9,253.469041
-6.1,6,253.890724
-7.3,8,254.352059
-4.6,6,254.774768
-2.8,8,255.276574
-1.9,9,255.777389
-6.1,6,256.201119
27.8,42,257.748925
3.5,15,258.453733
-3.4,9,258.95824
8.0,20,259.802066
-9.1,6,260.209724
-1.9,9,260.693312
-4.6,6,261.087749
-0.1,11,261.681767
-4.6,6,262.090977
-6.1,6,262.512694
-3.4,9,262.994373
38.9,56,265.006076
-3.7,7,265.426841
-4.6,6,265.870698
1.7,13,266.511642
-6.1,6,266.912131
0.8,12,267.522437
-4.6,6,267.942154
-1.0,10,268.422134
-4.6,6,268.823159
-0.1,11,269.443773
-4.6,6,269.848165
3.8,17,270.63364
0.8,12,271.238417
-4.6,6,271.640486
29.0,45,273.263965
-4.6,6,273.663407
-2.8,8,274.160186
2.6,14,274.879541
-7.3,8,275.365877
-6.1,6,275.797582
-3.7,7,276.270401
-4.6,6,276.67723
17.9,51,279.523226
18.2,33,280.707149
-0.7,12,281.308855
8.9,21,282.202914
-4.6,6,282.624241
4.4,16,283.35686
-4.6,6,283.77582
-2.8,8,284.233314
2.0,15,284.93611
-5.5,10,285.464505
-1.6,11,286.048624
-2.8,8,286.551682
-4.6,6,286.950298
-6.1,6,287.350869
21.2,38,288.760797
-1.0,10,289.270628
-7.6,6,289.684422
-4.6,6,290.126991
10.4,26,291.192285
-5.2,7,291.611238
-1.9,9,292.131058
-4.3,8,292.596267
0.8,17,293.402636
0.8,12,294.031116
13.4,26,295.130944
-2.8,8,295.615564
-6.1,11,296.218023
0.2,18,297.023213
-6.1,6,297.452089
-4.6,6,297.87079
4.7,18,298.63503
-2.8,8,299.131415
-2.8,8,299.636142
-1.0,15,300.352393
-1.9,9,300.876595
0.8,12,301.493091
5.3,17,302.26475
-6.4,9,302.765813
-4.6,6,303.186141
3.8,17,303.966357
-4.6,6,304.391938
-0.1,11,304.992996
-4.3,8,306.244163
-2.8,8,306.68843
1.7,18,307.482004
-3.4,9,307.985778
-1.0,10,308.511594
-2.8,8,308.997413
-3.1,11,309.600315
8.3,22,310.539283
-2.8,8,311.023483
-5.8,8,311.53114
-7.6,6,311.941762
-4.6,6,312.344775
-4.6,6,312.807083
-4.6,6,313.212669
-0.7,12,313.856144
-0.1,11,314.443739
0.8,12,315.02833
-4.6,6,315.457863
-1.9,9,315.934756
-4.6,6,316.376707
24.5,40,317.87353
-4.0,10,318.470828
-1.6,11,319.054516
-0.7,12,319.677954
3.5,15,320.36764
5.6,19,321.194888
-4.6,6,321.603871
11.6,24,322.580973
-6.4,9,323.103447
17.9,31,324.32553
-2.8,8,324.812991
-4.6,6,325.253149
-2.8,8,325.736799
-6.1,6,326.144537
7.1,19,326.931942
-0.1,11,327.52932
16.4,31,328.818635
-6.1,6,329.222123
0.8,12,329.822308
7.1,19,330.64167
2.9,21,331.530829
-4.6,6,332.633321
1.4,16,333.346104
8.9,21,334.247763
0.8,12,334.855084
-4.6,6,335.31506
-1.0,10,335.874473
-6.1,6,336.286854
-4.6,6,336.746903
2.6,19,337.593852
1.7,13,338.173547
-1.9,9,338.693679
-2.8,8,339.181621
3.5,15,339.884434
7.1,19,340.705398
-4.6,6,341.111719
-1.9,9,341.5968
-4.6,6,341.997184
6.2,18,342.821704
-7.6,6,343.270557
-3.7,7,343.732581
3.5,15,344.42675
-3.4,9,344.92559
5.3,17,345.716056
15.2,28,346.82392
-1.9,9,347.329204
14.9,31,348.54071
-4.6,6,348.943001
-1.9,9,349.467021
8.6,24,350.458631
-6.1,6,350.861837
-4.3,13,351.476789
11.9,26,352.504329
6.5,20,353.388671
28.1,44,355.015799
-4.6,6,355.395509
-4.6,6,355.817789
-4.6,6,356.203646
-0.1,11,356.822233
13.4,26,358.408705
6.2,18,359.216101
-4.6,6,359.643131
11.0,25,360.680727
3.5,15,361.349188
10.1,24,362.294959
14.6,29,363.413464
9.5,25,364.428726
-2.8,8,364.916759
-1.0,10,365.444985
-4.6,6,365.851825
5.3,17,366.633132
20.0,35,367.939289
-1.9,9,368.446549
12.5,25,369.455933
-0.4,14,370.136424
-4.6,6,370.564759
-1.9,9,371.059698
12.5,25,372.059587
-2.8,8,372.559129
4.1,19,373.392259
8.0,20,374.3042
-0.1,11,374.88823
-4.3,8,375.407245
-4.6,6,375.815551
-4.6,6,376.252665
4.4,16,376.993061
-4.6,6,377.39589
-4.0,10,377.906333
4.7,18,378.737639
-6.1,6,379.149441
2.6,14,379.834756
-6.1,6,380.277964
-0.7,12,380.863657
-5.2,7,381.345214
-0.7,12,381.980364
-8.2,7,383.271926
-2.8,8,383.709574
-1.0,10,384.300357
-5.2,7,384.806155
-0.7,12,385.417103
-4.6,6,385.858924
-1.9,14,386.501221
0.8,12,387.120412
14.3,27,388.206117
0.5,15,388.910002
-3.7,7,389.31982
19.7,33,390.639797
-4.6,6,391.065641
-2.8,8,391.547523
-7.6,6,391.970713
-7.3,8,392.429922
-1.9,9,392.942183
25.7,48,394.741751
-0.7,12,395.344067
17.0,30,396.547795
-4.6,6,396.947932
8.9,21,397.836276
-2.2,12,398.476336
5.3,17,399.261564
2.6,14,399.956197
-3.7,7,400.389224
11.0,25,401.40348
-3.4,9,401.905993
-6.1,6,402.290272
-1.9,9,402.809251
-2.8,8,403.29112
-6.1,6,403.696449
2.6,14,404.302592
-1.9,9,404.820282
2.6,14,405.524026
-2.8,8,406.004281
8.0,25,407.012491
10.7,23,408.808892
1.1,19,409.528201
-4.6,6,409.973055
-2.5,10,410.537057
-4.6,6,410.946961
1.7,13,411.549214
2.9,16,412.270108
-2.8,8,412.749901
-1.0,10,413.267605
-4.6,6,413.709463
-3.7,7,414.164047
8.9,21,415.069242
-2.8,8,415.587925
-2.8,8,416.088847
5.3,17,416.890567
-0.7,12,417.500227
-3.7,7,417.996223
-2.8,8,418.439815
-4.6,6,418.871002
1.1,14,419.554259
-4.6,6,419.976434
-4.6,6,420.36603
5.3,17,421.158126
41.3,57,423.15519
17.3,37,424.562804
-0.7,12,425.175537
-4.6,6,425.585576
0.8,12,426.18512
-1.9,9,426.681672
-4.6,6,427.086661
4.4,16,427.791356
-2.8,8,428.285592
-1.9,9,428.820827
-4.6,6,429.246396
3.5,15,429.952158
1.7,13,430.571515
0.2,13,431.176435
-4.6,6,431.586746
-4.6,6,431.966604
0.8,12,432.567434
-2.5,10,433.139055
-4.6,6,433.515053
3.5,15,434.250667
-6.1,6,435.448402
1.1,14,436.026646
14.3,32,437.229934
4.7,18,438.033535
-2.8,8,438.539958
9.8,22,439.460206
-1.9,9,439.963114
6.8,22,440.873177
10.1,24,441.876608
-4.6,6,442.279328
-4.6,6,442.688614
5.9,21,443.575682
-4.6,6,444.019595
0.2,13,444.681734
2.9,16,445.388712
40.4,61,447.518636
0.8,12,448.119455
-4.6,6,448.562264
-0.7,12,449.132663
13.1,29,450.207164
17.3,32,451.435344
23.0,40,452.946415
-6.1,6,453.352982
-4.6,6,453.778913
-2.8,8,454.23779
-3.4,9,454.736683
-1.0,10,455.249573
-2.8,8,455.747126
7.1,19,456.554101
21.2,38,458.905638
-4.6,6,459.250242
-6.7,7,459.705482
2.6,14,460.407427
-4.6,6,460.798281
-4.9,9,461.315945
-2.8,8,461.802648
4.1,19,462.614873
-4.6,6,463.013436
-4.6,6,463.416213
11.6,29,464.536192
-6.1,6,464.913862
-0.7,12,465.542107
-3.7,7,465.964234
3.5,15,466.666597
4.7,18,467.485582
-1.3,13,468.072329
11.0,25,469.071249
1.7,13,469.692046
2.3,17,470.400847
4.4,16,471.104363
-4.3,8,471.603647
0.8,12,472.211389
-4.6,6,472.601774
3.5,15,473.340487
-4.3,8,473.813393
-1.9,9,474.319564
-4.6,6,474.741595
2.9,16,475.538412
-2.8,8,476.022251
-1.0,10,476.529011
-3.4,9,477.037338
-4.6,6,477.410243
7.4,21,478.356112
-1.6,11,478.940524
-6.1,6,479.347161
-6.1,6,479.767321
-4.6,6,480.178624
-4.6,6,480.573515
-6.1,6,480.999063
2.9,21,481.882674
-4.6,6,482.287937
-1.9,9,482.770535
0.8,12,483.392761
-0.1,11,483.976763
6.5,20,484.803548
-4.6,6,486.030826
0.2,13,486.575325
-4.6,6,486.996045
18.2,33,488.28633
12.5,30,489.515956
-0.7,12,490.095937
-4.6,6,490.476315
29.9,46,492.203085
11.6,24,493.233451
-6.1,6,493.644151
-0.7,12,494.247496
-3.4,9,494.751559
-1.9,9,495.255331
2.0,15,495.961325
-6.1,6,496.364601
-0.1,11,496.935423
-4.3,8,497.454794
-4.6,6,497.846774
-4.6,6,498.242373
4.7,23,499.181222
-2.8,8,499.685917
-4.6,6,500.091081
-1.9,9,500.584278
11.9,26,501.61876
-1.9,9,502.134473
-7.6,6,502.53725
0.8,12,503.131426
-2.8,8,503.65407
2.6,14,504.354415
8.9,21,505.234534
-1.9,9,505.741585
17.3,32,506.95218
4.7,18,507.772269
9.5,25,508.797299
-3.7,12,509.386553
0.2,13,510.017239
7.4,21,511.60366
2.3,17,512.383202
-4.6,6,512.810075
2.3,17,513.600285
-6.1,6,513.99845
-6.1,6,514.431858
4.4,16,515.125911
-4.6,6,515.516787
3.8,17,516.258697
-5.8,8,516.747088
-4.6,6,517.152702
0.8,12,517.750162
-1.9,9,518.257983
-4.6,6,518.660436
-3.7,7,519.079073
28.4,46,520.789411
4.7,18,521.581867
7.4,21,522.483946
-1.9,9,523.005209
-6.1,6,523.446085
4.7,18,524.209156
0.8,12,524.793717
-4.6,6,525.206976
6.2,23,526.11045
-1.9,9,526.614143
-4.6,6,527.016442
-4.6,6,527.427015
-2.8,8,527.934911
-4.6,16,528.640142
-2.8,8,529.162024
-6.4,9,529.639032
-4.6,6,530.039117
7.7,23,530.986136
16.1,34,532.19708
-4.3,8,532.70524
-3.4,9,533.193866
-4.6,6,533.626525
-4.6,6,534.047884
6.8,27,535.124737
-4.3,8,535.630589
-6.7,7,536.889728
-0.1,11,537.354406
-1.9,14,538.023422
-5.8,8,538.542709
-4.6,6,538.934091
-4.6,6,539.358343
-3.1,11,539.93661
8.0,20,540.74661
-1.6,11,541.3516
-6.1,6,541.797199
8.0,30,542.996838
3.5,15,543.692501
2.3,17,544.4767
-4.3,8,544.993901
-4.6,6,545.384311
-6.1,6,545.805073
-2.8,8,546.288352
-0.7,12,546.894187
7.1,24,547.914181
-7.6,6,548.300455
12.5,30,549.403264
-3.7,12,550.028205
1.1,14,550.714634
16.4,31,551.915774
26.6,44,553.447301
-2.5,10,553.931204
-6.1,6,554.373729
22.7,38,555.777477
8.6,29,556.900858
-0.7,12,557.484171
